Student ID,Module,Marks,Comments
1,Introduction to IoT,85,Good performance
1,Data Analytics for IoT,90,Excellent work
2,Big Data Fundamentals,78,Needs improvement
2,Data Visualization,88,Well done
3,Cybersecurity Basics,92,Outstanding
3,Network Security,85,Great effort
4,Introduction to AI,80,Good effort
4,Machine Learning Basics,75,Can do better
5,Cloud Computing Fundamentals,88,Excellent
5,AWS Essentials,90,Well done
6,Software Engineering Principles,76,Needs improvement
6,Agile Development,82,Good work
7,Data Science Basics,95,Outstanding
7,Python for Data Science,89,Excellent
8,Blockchain Fundamentals,81,Good effort
8,Smart Contracts,84,Well done
9,Full Stack Development Basics,90,Excellent
9,React and Node.js,92,Outstanding
10,DevOps Fundamentals,79,Needs improvement
10,CI/CD Pipelines,85,Good work